Publication Type,Title,Authors,Creation Date
Internal technical report,Assessment of Vacuum Membrane Distillation for Treatment of Mine Effluents and Acidic Drainage,Saviz Mortazavi,2016-10-19
Internal technical report,Laboratory evaluation of diesel oxidation catalysts for NO2 formation,Brent Rubeli,2016-09-23
Internal technical report,Mine Waste Management under a Changing Climate in the North,Y.T. John Kwong,2016-08-05
Internal technical report,Accelerated leaching and recovery process for actinides-free separation of rare earth element,Nicolas Reynier,2016-08-01
Internal technical report,Characterizing the mechanical behavior of the tournemire argillite,Denis Labrie,2016-07-21
Internal technical report,Role of Ferric Ion in Stabilizing Arsenic Trioxide,Y.T. John Kwong,2016-07-19
Internal technical report,An Overview of Potential R&D Areas in Leaching and Separation for Canadian REE Projects,Maziar E. Sauber,2016-07-14
Internal technical report,Technical Report: Differentiation of strontium in the surrogate cemented radioactive wastes ,"Fiset, Jean-Francois",2016-07-05
Internal technical report,Metal Attenuation and Microbes in a Northern Mining Area (Part II),Y.T. John Kwong,2016-06-22
Internal technical report,ENERGY EFFICIENT ROCK FRAGMENTATION – PROJECT COMPLETION REPORT,Magella Bilodeau,2016-06-13
Internal technical report,3D LASER SCANNER FOR RUN-OF-MINE ORE SIZE MEASUREMENT AT THE PRIMARY CRUSHER,Magella Bilodeau,2016-06-12
Internal technical report,ENERGY EFFICIENT ROCK FRAGMENTATION – PROJECT COMPLETION REPORT,Magella Bilodeau,2016-06-12
Internal technical report,ROCK HARDNESS SOFT SENSOR BASED ON CRUSHER DATA – PROOF OF CONCEPT STUDY,Magella Bilodeau,2016-06-12
Internal technical report,Exploratory Examination of the Removal of Metals from the Water Column under Transformation/Dissolution Conditions for Chronic Hazard Classification,"Huntsman-Mapila, Philippa",2016-06-07
Internal technical report,Leaching of rare earth elements from coal ash,Rory Cameron,2016-05-20
Internal technical report,Gap Analysis for Mining Extraction Issues in Canada's Nort - Project Summary Report,Karen Beaudoin,2016-05-18
Internal technical report,Solid-Phase separation of actinides and lanthanides,Whittey-Lévéillé,2016-05-17
Internal technical report,REE characterization : linking mineralogical variation to flotation and leaching performance,Yves Thibeault,2016-05-12
Internal technical report,Characterization of filtration and fouling processes in ceramic membranes used for the recovery and recycle of oil sands produced water,Yves Thibault,2016-04-23
Internal technical report,Identification du potentiel de récupération de l’énergie dans les circuits de broyage,Gilles Leblanc,2016-04-23
Internal technical report,Improving the performance of anaerobic bioreactors at sub-optimal temperatures,Sean Langley,2016-04-15
Internal technical report,Testing and evaluation of modular thermal transfer unit for underground mine air conditioning,Gary Li,2016-04-13
Internal technical report,Investigation of the extent of oxidation of iron oxides in magnetic biochars by X-ray photoelectron spectroscopy,Joanne Gamage McEvoy,2016-04-09
Internal technical report,Rare Earth Element Technical Workshop Summary Report,NRCan,2016-04-07
Internal technical report,CCU-1e: Preparation of a certified reference material for a copper concentrate,Maureen Leaver,2016-01-29
Internal technical report,ANALYSIS OF FERROUS ION AND FREE ACID IN RARE EARTH PROCESSING SOLUTIONS USING TITRATION METHODS ,Emma Riley,2016-01-27
Internal technical report,REE-Preparation of a rare earth certified reference material,Maureen Leaver,2016-01-20
Internal technical report,Increasing REEs leaching from apatite by bioleaching microorganisms in phosphate,Lyne Lortie,2015-10-14
Internal technical report,Operator’s Manual for the GigE CanCam Software,Ken Judge,2015-10-07
Internal technical report,Testing and evaluation of a modular thermal transfer unit for mine air conditioning,Gary Li,2015-09-25
Internal technical report,Characterization and potential environmental uses of red mud-modified biochars,Suzanne Beauchemin,2015-07-16
Internal technical report,Radium Remobilization in Submerged Uranium Tailings - A Literature Review,John Kwong,2015-07-09
Internal technical report,Characterization of radioactive surrogated waste,J.F. Fiset,2015-06-05
Internal technical report,Proficiency Testing Mineral for Mineral Analysis Laboratories - April 2015 cycle (final report),Diane Desroches,2015-05-29
Internal technical report,Commissioning of the Thunder Scientific 2500 Humidity Generator Final,Kevin Butler,2015-05-25
Internal technical report,Sequential Extraction of Radium from Uranium Mine Tailings,"Fiset, Jean-Francois",2015-03-30
Internal technical report,RTS-5:  Preparation of a Certified Reference Material,"Leaver, Maureen",2015-03-23
Internal technical report,Increasing REE leaching through phosphate assimilation from apatite by bioleaching microorganisms in phosphate–free growth media,"Lortie, Lyne",2015-03-20
Internal technical report,The Rare Earth Elements Projects - CanmetMINING Research Summary,"Desforges, Melissa",2015-02-25
Internal technical report,Important Metal Carriers in the Athabasca Oil Sands Region: A Mineralogical Investigation,"Thibault, Yves",2014-12-08
Internal technical report,Different Aspects of Mineralogical Characterization Applied to the Development of Rare Earth Elements (REE) Resources,"Thibault, Yves",2014-08-21
Internal technical report,Sales Review for FY 2013-2014 for the Canadian Certified Reference Materials Project,"Salley, Joseph",2014-07-28
Internal technical report,Biological Recovery of Freshwater and Marine Habitats Containing Submerged Reactive Mine Tailings,"Dave, Nand",2014-07-15
Internal technical report,PTC-1b:  Preparation of a Certified Reference Material,"Leaver, Maureen",2014-05-06
Internal technical report,Adapting the Freshwater Transformation/Dissolution Protocol for Metals and Metal Compounds to Marine Systems: A Response to International Maritime Organization Hazard Classification Requirements,"Huntsman-Mapila, Philippa",2014-04-17
Internal technical report,Metal mobilization in waste rocks-toxicity testing using a modified Daphnia magna lethality test.,"Rickwood, Carrie",2014-04-01
Internal technical report,The current situation of radioactive waste in Canada,"Bouzoubaa, Nabil",2014-04-01
Internal technical report,A Weight of Evidence Approach to Assess the Cycling of Oil Sands Relevant Metals,"Huntsman-Mapila, Philippa",2014-03-25
Internal technical report,Development of a 3-Line Profiler for Shear Box Samples,"Judge, Ken",2014-03-19
Internal technical report,A Weight of Evidence Approach to Assess the Cycling of Oil Sands Relevant Metals,P. Huntsman-Mapila,2014-02-25
Internal technical report,Application Methodology of a Hot Gas Plasma Torch for Production Fragmentation of Gold Bearing Quartz Veins,M.C. Bétournay,2013-12-13
Internal technical report,Design of a New Plasma Torch Starter for Mining Application,N. Kandev,2013-12-13
Internal technical report,Initial Underground Test Results of Thermal Fragmentation of Gold Bearing Quartz Veins,M.C. Bétournay,2013-12-13
Internal technical report,Mine Hydrogen Distribution Leak Test Chamber Modelling Results,M.C. Bétournay,2013-12-13
Internal technical report,Mine Hydrogen Distribution Leak Test Chamber Test Outline and Test Protocols,M.C. Bétournay,2013-12-13
Internal technical report,Mine Hydrogen Distribution Leak Test Chamber Testing Equipment,M.C. Bétournay,2013-12-13
Internal technical report,Production Mining Thermal Fragmentation Plasma Torch Equipment and Operation,M.C. Bétournay,2013-12-13
Internal technical report,Surface Test Chamber Design for Simulating Underground Hydrogen Distribution Leak Behaviour,M.C. Bétournay,2013-12-13
Internal technical report,A Weight of Evidence Approach to Assess the Cycling of Oil Sands Relevant Metals,C.J. Rickwood,2013-10-18
Internal technical report,Metal mobilization in waste rocks – toxicity testing using a modified Daphnia magna lethality test,C.J. Rickwood,2013-10-18
Internal technical report,CanmetMINING and the Mining Association of Canada Marine Hazard Classification Workshop Report,P. Huntsman-Mapila,2013-10-09
Internal technical report,Torche au plasma – Infrastructure et équipement à la Mine-laboratoire,G. LeBlanc,2013-10-03
Internal technical report,Proposal for a Four Year Production Plan for Canadian Certified Reference Materials Project,"M.E. Leaver, J. Salley",2013-09-12
Internal technical report,Sales Review for FY 2012-2013 for the Canadian Certified Reference Materials Project,"M.E. Leaver, J. Salley",2013-09-12
Internal technical report,Determining the Effect of a Reduced YCT Diet on the Ceriodaphnia dubi Sub-lethal Toxicity Test in Soft Water in Relation to the MMER-EEM Program,M. King,2013-07-05
